bairro_cidade,mean_monthly,std_monthly,peak_monthly,cv
FLORES / AMONTADA,2.0,0.0,2,0.0
ZONA RURAL / VIÇOSA DO CEARÁ,1.5,0.7071067811865476,2,0.47140452079103173
ZONA RURAL / MORADA NOVA,1.5,0.7071067811865476,2,0.47140452079103173
 BOA ESPERANÇA  / PEDRA BRANCA,1.0,0.0,1,0.0
02 DE AGOSTO / MORADA NOVA,1.0,0.0,1,0.0
ALTO DOS 14 / IPU,1.0,0.0,1,0.0
ALTO DOS PLANETAS / ITAPIPOCA,1.0,0.0,1,0.0
ALTO BRILHANTE / TAUÁ,1.0,0.0,1,0.0
ALTO / JAGUARUANA,1.0,0.0,1,0.0
BANGÜÊ I / PACAJUS,1.0,0.0,1,0.0
BARBALHO / CASCAVEL,1.0,0.0,1,0.0
BARRA DO CEARÁ / FORTALEZA,1.0,0.0,1,0.0
BARRO BRANCO / CRATO,1.0,0.0,1,0.0
BELA VISTA / CRATO,1.0,0.0,1,0.0
BOM SUCESSO / FORTALEZA,1.0,0.0,1,0.0
BAILARINA / ACARAÚ,1.0,0.0,1,0.0
ALTO DO CRISTO / SOBRAL,1.0,0.0,1,0.0
CACIMBAS / MOMBAÇA,1.0,0.0,1,0.0
CAIS DO PORTO / FORTALEZA,1.0,0.0,1,0.0
CAMPINAS / CANINDÉ,1.0,0.0,1,0.0
CAMPO VELHO / QUIXADÁ,1.0,0.0,1,0.0
CAN / CANINDÉ,1.0,0.0,1,0.0
CARNAUBEIRA / AMONTADA,1.0,0.0,1,0.0
CARNAÚBAS DOS LÚCIOS / IPUEIRAS,1.0,0.0,1,0.0
CENTRO / AURORA,1.0,0.0,1,0.0
CENTRO / BREJO SANTO,1.0,0.0,1,0.0
CENTRO / CASCAVEL,1.0,0.0,1,0.0
CENTRO / COREAÚ,1.0,0.0,1,0.0
CENTRO / GUARACIABA DO NORTE,1.0,0.0,1,0.0
CENTRO / HORIZONTE,1.0,0.0,1,0.0
CENTRO / IPU,1.0,0.0,1,0.0
BRASÍLIA / BELA CRUZ,1.0,0.0,1,0.0
BAIRRO DE FÁTIMA / FORTALEZA,1.0,0.0,1,0.0
CENTRO / MORRINHOS,1.0,0.0,1,0.0
CENTRO / NOVO ORIENTE,1.0,0.0,1,0.0
CENTRO / PINDORETAMA,1.0,0.0,1,0.0
CENTRO / PARACURU,1.0,0.0,1,0.0
CENTRO / TIANGUÁ,1.0,0.0,1,0.0
CIDADADE NOVA / CARNAUBAL,1.0,0.0,1,0.0
COCOBO / IGUATU,1.0,0.0,1,0.0
CENTRO / SÃO GONÇALO DO AMARANTE,1.0,0.0,1,0.0
CONJUNTO NOVA ESPERANÇA / PARACURU,1.0,0.0,1,0.0
CONJUNTO SÃO DOMINGOS / CAUCAIA,1.0,0.0,1,0.0
CURIÓ / FORTALEZA,1.0,0.0,1,0.0
CRISTO REDENTOR / FORTALEZA,1.0,0.0,1,0.0
DERT / QUIXADÁ,1.0,0.0,1,0.0
EMPRÉSTIMO / VARJOTA,1.0,0.0,1,0.0
FRANSQUINHO FERREIRA / CAMOCIM,1.0,0.0,1,0.0
GAMELEIRA / HORIZONTE,1.0,0.0,1,0.0
GRANJA LISBOA / FORTALEZA,1.0,0.0,1,0.0
GUARANI / CAMPOS SALES,1.0,0.0,1,0.0
JARI / MARACANAÚ,1.0,0.0,1,0.0
JEREISSATI 2 / PACATUBA,1.0,0.0,1,0.0
JOSÉ GERALDO DA CRUZ / JUAZEIRO DO NORTE,1.0,0.0,1,0.0
JOÃO CABRAL / JUAZEIRO DO NORTE,1.0,0.0,1,0.0
JOÃO PAULO 2 / IGUATU,1.0,0.0,1,0.0
JUCURUTU  / AQUIRAZ,1.0,0.0,1,0.0
LOGRADOURO / JUAZEIRO DO NORTE,1.0,0.0,1,0.0
MACAPÁ / BEBERIBE,1.0,0.0,1,0.0
MAMOEIRO / FORTIM,1.0,0.0,1,0.0
MARECHAL RONDON / CAUCAIA,1.0,0.0,1,0.0
MEARIM 3 / BARREIRA,1.0,0.0,1,0.0
MOCAMBO / MARCO,1.0,0.0,1,0.0
CENTRO / IPUEIRAS,1.0,0.0,1,0.0
BURITI / PACAJUS,1.0,0.0,1,0.0
NOVO MARANGUAPE / MARANGUAPE,1.0,0.0,1,0.0
MONSENHOR OTACILIO / SÃO BENEDITO,1.0,0.0,1,0.0
NOVO ORIENTE / MARACANAÚ,1.0,0.0,1,0.0
PADRE LIMA / ITAPAJÉ,1.0,0.0,1,0.0
PARQUE DOS CAJUEIROS / ICAPUÍ,1.0,0.0,1,0.0
PARQUE SÃO JOSÉ / FORTALEZA,1.0,0.0,1,0.0
PADRE PALHANO / SOBRAL,1.0,0.0,1,0.0
PADRE PAULO / BOA VIAGEM,1.0,0.0,1,0.0
PEDREIRAS / PENTECOSTE,1.0,0.0,1,0.0
PEIXE GORDO / ICAPUÍ,1.0,0.0,1,0.0
PLANALTO / RUSSAS,1.0,0.0,1,0.0
PLANALTO AYRTON SENNA / FORTALEZA,1.0,0.0,1,0.0
PLANALTO CAUCAIA / CAUCAIA,1.0,0.0,1,0.0
PONTA D’ÁGUA / BEBERIBE,1.0,0.0,1,0.0
PAVUNA / PACATUBA,1.0,0.0,1,0.0
PEDRA BRANCA / PACAJUS,1.0,0.0,1,0.0
RECANTO I / SOBRAL,1.0,0.0,1,0.0
REDENÇÃO / JARDIM,1.0,0.0,1,0.0
RODAGEM / MASSAPÊ,1.0,0.0,1,0.0
RODOLFO TEÓFILO / FORTALEZA,1.0,0.0,1,0.0
RODOVIÁRIA / TIANGUÁ,1.0,0.0,1,0.0
SABIAGUABA / FORTALEZA,1.0,0.0,1,0.0
SALITRE / CANINDÉ,1.0,0.0,1,0.0
SANTA CASA / SOBRAL,1.0,0.0,1,0.0
SANTA MARIA / PEDRA BRANCA,1.0,0.0,1,0.0
SANTA TEREZA / TAUÁ,1.0,0.0,1,0.0
SANTO EXPEDITO / TIANGUÁ,1.0,0.0,1,0.0
SERROTA / PENTECOSTE,1.0,0.0,1,0.0
SERTÃOZINHO / ITAPIPOCA,1.0,0.0,1,0.0
SÃO FRANCISCO 2 / ITAPAJÉ,1.0,0.0,1,0.0
POPULARES / JARDIM,1.0,0.0,1,0.0
PREFEITO JOSÉ WALTER / FORTALEZA,1.0,0.0,1,0.0
SÍTIO CAPOEIRA / CHOROZINHO,1.0,0.0,1,0.0
SÃO SEBASTIÃO / UBAJARA,1.0,0.0,1,0.0
TABULEIRO DO CATAVENTO / RUSSAS,1.0,0.0,1,0.0
TIMBAÚBAS / JUAZEIRO DO NORTE,1.0,0.0,1,0.0
TRIÂNGULO DE MARCO / MARCO,1.0,0.0,1,0.0
VEREMOS / CRATEÚS,1.0,0.0,1,0.0
TIMBÓ / MARACANAÚ,1.0,0.0,1,0.0
TOCA / SÃO BENEDITO,1.0,0.0,1,0.0
VILA MASCENA / TABULEIRO DO NORTE,1.0,0.0,1,0.0
YPIRANGA / SÃO BENEDITO,1.0,0.0,1,0.0
ZONA RURAL / ACARAÚ,1.0,0.0,1,0.0
ZONA RURAL / ARACATI,1.0,0.0,1,0.0
ZONA RURAL / CANINDÉ,1.0,0.0,1,0.0
ZONA RURAL / CEDRO,1.0,0.0,1,0.0
VICENTE PINZON / FORTALEZA,1.0,0.0,1,0.0
VILA JOSÉ MENDES / TABULEIRO DO NORTE,1.0,0.0,1,0.0
ZONA RURAL / IPUEIRAS,1.0,0.0,1,0.0
ZONA RURAL / IBIAPINA,1.0,0.0,1,0.0
ZONA RURAL / JUAZEIRO DO NORTE,1.0,0.0,1,0.0
ZONA RURAL / ITAREMA,1.0,0.0,1,0.0
ZONA RURAL / MARCO,1.0,0.0,1,0.0
ZONA RURAL / NOVO ORIENTE,1.0,0.0,1,0.0
ZONA RURAL / PARAIPABA,1.0,0.0,1,0.0
ZONA RURAL / JIJOCA DE JERICOACOARA,1.0,0.0,1,0.0
ZONA RURAL / TABULEIRO DO NORTE,1.0,0.0,1,0.0
ZONA RURAL / TAMBORIL,1.0,0.0,1,0.0
ZONA RURAL / TRAIRI,1.0,0.0,1,0.0
ZONA RURAL / TIANGUÁ,1.0,0.0,1,0.0
ZONA RURAL / UBAJARA,1.0,0.0,1,0.0
ZONA RURAL / VARJOTA,1.0,0.0,1,0.0
"ZONA RURAL, SANTA TEREZINHA / GRANJA",1.0,0.0,1,0.0
ZONA URBANA / JAGUARIBE,1.0,0.0,1,0.0
