bairro,mes,prisoes
Marechal Rondon,2025-01,6
Marechal Rondon,2025-02,1
Marechal Rondon,2025-03,1
Marechal Rondon,2025-04,3
Marechal Rondon,2025-05,3
Marechal Rondon,2025-06,1
Marechal Rondon,2025-07,3
Marechal Rondon,2025-08,1
Marechal Rondon,2025-09,3
Mestre Antônio,2025-01,1
Potira,2025-01,1
Potira,2025-02,3
Potira,2025-03,1
Potira,2025-04,2
Potira,2025-05,2
Potira,2025-06,2
Potira,2025-07,3
Potira,2025-08,4
Munguba,2025-01,1
Conj. Metropolitano,2025-01,1
Guajiru,2025-01,1
Guajiru,2025-04,3
Guajiru,2025-06,1
Jardim Icaraí,2025-01,1
Jardim Icaraí,2025-02,1
Jardim Icaraí,2025-03,4
Jardim Icaraí,2025-09,1
Itambé I,2025-01,1
Itambé I,2025-03,1
São Miguel,2025-01,2
São Miguel,2025-04,1
São Miguel,2025-06,1
São Miguel,2025-08,1
Jardim Icarai,2025-01,1
Padre Julio María,2025-01,1
Cigana,2025-01,2
Toco,2025-01,1
Toco,2025-04,1
Conjunto Ceará,2025-01,1
Nova Metrópole,2025-01,2
Nova Metrópole,2025-02,1
Nova Metrópole,2025-03,1
Nova Metrópole,2025-05,1
Jurema,2025-01,2
Jurema,2025-03,1
Jurema,2025-04,3
Jurema,2025-05,2
Jurema,2025-06,1
Centro,2025-01,1
Centro,2025-03,1
Centro,2025-04,1
Centro,2025-07,1
Centro,2025-08,1
Campo Grande,2025-01,2
Campo Grande,2025-02,1
Campo Grande,2025-06,1
Campo Grande,2025-07,2
Parque Guadalajara,2025-01,1
Parque Guadalajara,2025-02,1
Parque Guadalajara,2025-03,1
Parque Guadalajara,2025-05,1
Parque Guadalajara,2025-07,1
Potira 1,2025-01,1
Boa Vista,2025-01,1
Boa Vista,2025-03,1
Parque Soledade,2025-01,1
Parque Soledade,2025-03,1
Parque Soledade,2025-04,1
Parque Soledade,2025-09,1
Parque Potira,2025-01,2
Parque Potira,2025-07,1
"Rua José Lino da Silveira, 315, Condomínio Lino III",2025-02,1
Arianopolis,2025-02,1
Metrópoles Sul,2025-02,1
Tabapuá,2025-02,1
Tabapuá,2025-05,2
Arianópolis,2025-02,1
Arianópolis,2025-04,2
Arianópolis,2025-05,1
Matões,2025-02,1
Matões,2025-05,1
Tabapuazinho,2025-03,1
Tabapuazinho,2025-04,2
Conjunto Metropolitano,2025-03,1
Conjunto Metropolitano,2025-04,1
Conjunto Metropolitano,2025-06,1
Conjunto Metropolitano,2025-07,3
Araturi,2025-03,1
Araturi,2025-04,3
Araturi,2025-05,3
Araturi,2025-07,2
Araturi,2025-08,1
Araturi,2025-09,1
Capuan,2025-04,1
Capuan,2025-09,1
Zona Rural,2025-04,1
Nova Metrópole 5,2025-04,1
Conjunto Novo Paraiso,2025-04,1
Parque Leblon,2025-04,1
Parque Leblon,2025-06,1
Parque Leblon,2025-08,1
Padre Romualdo,2025-04,1
Posti IBIS,2025-04,1
Parque Boa Vista,2025-04,1
Bom Jesus,2025-04,1
Parque das Nações,2025-05,1
Parque das Nações,2025-07,1
Iparana,2025-05,1
Itambé,2025-05,1
Itambé,2025-09,3
Parque Itapuã,2025-05,1
Itapuã,2025-05,1
Nova Metropole,2025-05,1
Metrópole Sul,2025-05,1
Metrópole Sul,2025-06,1
Arianópoles,2025-06,2
Carrapicho,2025-06,1
Picuí,2025-06,1
Picuí,2025-09,1
Padre Júlio Maria,2025-06,1
Padre Júlio Maria,2025-07,1
Padre Júlio Maria,2025-08,2
Parque Itapoã,2025-06,1
 Conjunto El Dourado,2025-06,1
Conjunto São Domingos,2025-06,1
Metrópole V,2025-06,1
METROPOLE SUL,2025-06,1
Metrópole,2025-06,1
Vila Nova,2025-06,1
Cajueiros,2025-06,1
Rondon,2025-06,1
Madureira,2025-06,1
Arianopoles,2025-06,1
Arianopoles,2025-08,1
Parque Albano,2025-07,1
Parque Albano,2025-08,1
Icaraí,2025-07,1
Parque São Gerardo,2025-07,1
Tabapuá Brasília,2025-07,1
Metropole Sul,2025-07,1
PARQUE GUADALAJARA,2025-07,1
PARQUE GUADALAJARA,2025-10,1
PARQUE POTIRA,2025-07,1
 PARQUE IPIRANGA,2025-08,1
PLANAUTO CAUCAIA ,2025-08,1
Guaié,2025-08,1
Cercadão,2025-08,1
Grilo,2025-08,1
CIGANA,2025-08,1
CIGANA,2025-09,1
CIGANA,2025-12,1
São Migue,2025-09,1
Potira III,2025-09,1
Patrícia Gomes,2025-09,1
ARATURI ,2025-09,1
Parque das Nações ,2025-09,1
ITAMBÉ II,2025-09,1
IPARANA,2025-09,1
IPARANA,2025-11,2
SÃO MIGUEL,2025-09,1
SÃO MIGUEL,2025-10,2
SÃO MIGUEL,2025-12,3
ARATURI,2025-09,2
ARATURI,2025-10,6
ARATURI,2025-11,5
ARATURI,2025-12,2
METROPOLE,2025-09,1
TABAPUAZINHO,2025-09,1
TABAPUAZINHO,2025-11,1
TABAPUAZINHO,2025-12,1
SÃO GERARDO,2025-09,2
SÃO GERARDO,2025-11,1
JARDIM ICARAI,2025-09,2
CAPUÃ,2025-09,1
JARDIM DO AMOR,2025-09,1
BOA VISTA,2025-09,2
BOA VISTA,2025-11,1
CONJUNTO METROPOLITANO,2025-09,1
CONJUNTO METROPOLITANO,2025-10,1
CONJUNTO METROPOLITANO,2025-12,1
MARECHAL RONDON,2025-10,2
MARECHAL RONDON,2025-11,5
MARECHAL RONDON,2025-12,6
PARQUE DAS NAÇÕES ,2025-10,1
CENTRO,2025-10,1
MUNGUBA,2025-10,1
MUNGUBA,2025-11,1
FAVELA DOS CAJUEIROS,2025-10,1
POTIRA,2025-10,2
POTIRA,2025-11,4
POTIRA,2025-12,2
ICARAÍ,2025-10,1
JUREMA,2025-10,1
ITAMBE I,2025-10,1
ITAMBE I,2025-12,1
NOVA METRÓPOLE,2025-10,1
NOVA METRÓPOLE,2025-11,1
PARQUE ALBANO,2025-10,1
PARQUE ALBANO,2025-11,1
CAMURUPIM,2025-10,1
GUAJIRU,2025-10,1
GUAJIRU,2025-11,1
GUAJIRU,2025-12,1
PADRE JÚLIO MARIA,2025-10,1
PICUÍ,2025-10,1
PICUÍ,2025-11,2
PICUÍ,2025-12,1
ZONA RURAL,2025-10,1
PARQUE BOA VISTA,2025-11,1
MESTRE ANTONIO ,2025-11,2
MESTRE ANTONIO ,2025-12,1
TABAPUÁ,2025-11,2
TABAPUÁ,2025-12,2
CUMBUCO,2025-11,2
CUMBUCO,2025-12,1
TOCO,2025-11,1
CURICACA,2025-11,1
TABUBA,2025-11,1
PARQUE SOLEDADE,2025-12,2
ARIANÓPOLIS,2025-12,1
PLANALTO CAUCAIA,2025-12,1
VILA NOVA,2025-12,1
PARQUE LEBLON,2025-12,1
TUCUNDUBA,2025-12,1
